episode,timestep,reward
1,1000,2.791
2,2000,1.441
3,3000,4.734
4,4000,2.128
5,5000,3.065
6,6000,1.656
7,7000,1.204
8,8000,3.027
9,9000,3.142
10,10000,2.71
11,11000,0.913
12,12000,0.745
13,13000,2.431
14,14000,1.496
15,15000,0.885
16,16000,0.966
17,17000,1.12
18,18000,0.615
19,19000,1.241
20,20000,0.274
21,21000,0.85
22,22000,0.851
23,23000,2.526
24,24000,2.117
25,25000,8.706
26,26000,0.375
27,27000,0.045
28,28000,0.336
29,29000,0.03
30,30000,0.036
31,31000,0.035
32,32000,0.041
33,33000,0.098
34,34000,0.117
35,35000,0.242
36,36000,0.477
37,37000,1.033
38,38000,5.445
39,39000,2.312
40,40000,2.537
41,41000,3.502
42,42000,2.591
43,43000,2.156
44,44000,9.786
45,45000,211.188
46,46000,14.756
47,47000,15.093
48,48000,1.687
49,49000,1.717
50,50000,3.262
51,51000,0.191
52,52000,1.465
53,53000,0.832
54,54000,1.838
55,55000,0.282
56,56000,2.565
57,57000,9.598
58,58000,0.5
59,59000,2.482
60,60000,1.771
61,61000,1.299
62,62000,0.786
63,63000,1.065
64,64000,0.794
65,65000,2.215
66,66000,0.054
67,67000,1.999
68,68000,0.493
69,69000,0.245
70,70000,0.103
71,71000,0.407
72,72000,0.043
73,73000,2.362
74,74000,0.056
75,75000,0.041
76,76000,0.138
77,77000,0.117
78,78000,0.271
79,79000,0.103
80,80000,0.114
81,81000,0.505
82,82000,2.784
83,83000,2.17
84,84000,0.082
85,85000,0.286
86,86000,0.242
87,87000,1.686
88,88000,0.918
89,89000,1.176
90,90000,1.859
91,91000,0.098
92,92000,1.344
93,93000,1.165
94,94000,0.547
95,95000,0.217
96,96000,0.1
97,97000,0.573
98,98000,0.125
99,99000,0.688
100,100000,4.263
